Logged in user: va, establishmentId: 5 at 2025-05-15T15:30:54.284Z
Logged in user: va, establishmentId: 5 at 2025-05-15T15:31:00.723Z
Logged in user: va, establishmentId: 5 at 2025-05-15T15:31:02.513Z
Logged in user: va, establishmentId: 5 at 2025-05-15T15:31:03.775Z
Logged in user: va, establishmentId: 5 at 2025-05-15T15:31:09.289Z
Logged in user: va, establishmentId: 5 at 2025-05-15T15:42:07.121Z
Logged in user: va, establishmentId: 5 at 2025-05-15T15:42:08.579Z
Logged in user: va, establishmentId: 5 at 2025-05-15T15:45:45.158Z
Logged in user: va, establishmentId: 5 at 2025-05-15T16:17:23.241Z
Logged in user: va, establishmentId: 5 at 2025-05-15T16:17:32.911Z
Logged in user: va, establishmentId: 5 at 2025-05-15T16:17:40.499Z
Logged in user: va, establishmentId: 5 at 2025-05-15T16:17:41.599Z
Logged in user: va, establishmentId: 5 at 2025-05-15T16:26:12.392Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:27:17.374Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:35:47.238Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:39:07.603Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T16:39:25.467Z
Logged in user: view, establishmentId: undefined at 2025-05-15T16:39:38.270Z
Logged in user: view, establishmentId: undefined at 2025-05-15T16:41:27.940Z
Logged in user: view, establishmentId: undefined at 2025-05-15T16:44:56.268Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T16:45:07.019Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T16:45:09.520Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T16:45:11.109Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:45:18.558Z
Logged in user: view, establishmentId: undefined at 2025-05-15T16:45:27.177Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:45:55.923Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:02.504Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:05.829Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:07.055Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:08.102Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:09.028Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:10.300Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:23.786Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:24.947Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:28.051Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:46:30.404Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:47:18.703Z
Logged in user: view, establishmentId: undefined at 2025-05-15T16:53:10.227Z
Logged in user: va, establishmentId: undefined at 2025-05-15T16:58:05.552Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T16:58:21.736Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T17:11:05.029Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T17:11:06.776Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T17:11:20.915Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T17:11:50.304Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T17:11:51.945Z
Logged in user: vaa, establishmentId: undefined at 2025-05-15T17:11:52.900Z
Logged in user: va, establishmentId: undefined at 2025-05-15T17:14:43.942Z
